name,full_smiles
dmf,
RAE,COC1=C(OC)C=C(CC(ON2C(C(C=CC=C3)=C3C2=O)=O)=O)C=C1.O=CN(C)C
IQ,C12=CC=CC=C1C=CN=C2.O=CN(C)C
IQ-TM,COC1=C(OC)C=CC(CC2=NC=CC3=CC=CC=C32)=C1.O=CN(C)C
4CzIPN,N#CC1=C(N2C3=CC=CC=C3C4=C2C=CC=C4)C(N5C6=CC=CC=C6C7=C5C=CC=C7)=C(N8C9=CC=CC=C9C%10=C8C=CC=C%10)C(C#N)=C1N%11C%12=CC=CC=C%12C%13=C%11C=CC=C%13.O=CN(C)C
NHPI,O=C1C2=C(C=CC=C2)C(N1)=O.O=CN(C)C
PIM-1-H mono unit,CC1(C)CC2(CC(C)(C)C3=C2C=C(OC(C(C#N)=C(OC(C=C4C(C5(CC(C)(C)C6=C5C=C(OC)C(OC)=C6)CC4(C)C)=C7)=C7O8)C8=C9C#N)=C9O%10)C%10=C3)C%11=CC(OC)=C(OC)C=C%111.O=CN(C)C
acetone,
RAE,COC1=C(OC)C=C(CC(ON2C(C(C=CC=C3)=C3C2=O)=O)=O)C=C1.CC(C)=O
IQ,C12=CC=CC=C1C=CN=C2.CC(C)=O
IQ-TM,COC1=C(OC)C=CC(CC2=NC=CC3=CC=CC=C32)=C1.CC(C)=O
4CzIPN,N#CC1=C(N2C3=CC=CC=C3C4=C2C=CC=C4)C(N5C6=CC=CC=C6C7=C5C=CC=C7)=C(N8C9=CC=CC=C9C%10=C8C=CC=C%10)C(C#N)=C1N%11C%12=CC=CC=C%12C%13=C%11C=CC=C%13.CC(C)=O
NHPI,O=C1C2=C(C=CC=C2)C(N1)=O.CC(C)=O
PIM-1-H mono unit,CC1(C)CC2(CC(C)(C)C3=C2C=C(OC(C(C#N)=C(OC(C=C4C(C5(CC(C)(C)C6=C5C=C(OC)C(OC)=C6)CC4(C)C)=C7)=C7O8)C8=C9C#N)=C9O%10)C%10=C3)C%11=CC(OC)=C(OC)C=C%111.CC(C)=O
etoac,
RAE,COC1=C(OC)C=C(CC(ON2C(C(C=CC=C3)=C3C2=O)=O)=O)C=C1.CC(OCC)=O
IQ,C12=CC=CC=C1C=CN=C2.CC(OCC)=O
IQ-TM,COC1=C(OC)C=CC(CC2=NC=CC3=CC=CC=C32)=C1.CC(OCC)=O
4CzIPN,N#CC1=C(N2C3=CC=CC=C3C4=C2C=CC=C4)C(N5C6=CC=CC=C6C7=C5C=CC=C7)=C(N8C9=CC=CC=C9C%10=C8C=CC=C%10)C(C#N)=C1N%11C%12=CC=CC=C%12C%13=C%11C=CC=C%13.CC(OCC)=O
NHPI,O=C1C2=C(C=CC=C2)C(N1)=O.CC(OCC)=O
PIM-1-H mono unit,CC1(C)CC2(CC(C)(C)C3=C2C=C(OC(C(C#N)=C(OC(C=C4C(C5(CC(C)(C)C6=C5C=C(OC)C(OC)=C6)CC4(C)C)=C7)=C7O8)C8=C9C#N)=C9O%10)C%10=C3)C%11=CC(OC)=C(OC)C=C%111.CC(OCC)=O
2methf,
RAE,COC1=C(OC)C=C(CC(ON2C(C(C=CC=C3)=C3C2=O)=O)=O)C=C1.CC1OCCC1
IQ,C12=CC=CC=C1C=CN=C2.CC1OCCC1
IQ-TM,COC1=C(OC)C=CC(CC2=NC=CC3=CC=CC=C32)=C1.CC1OCCC1
4CzIPN,N#CC1=C(N2C3=CC=CC=C3C4=C2C=CC=C4)C(N5C6=CC=CC=C6C7=C5C=CC=C7)=C(N8C9=CC=CC=C9C%10=C8C=CC=C%10)C(C#N)=C1N%11C%12=CC=CC=C%12C%13=C%11C=CC=C%13.CC1OCCC1
NHPI,O=C1C2=C(C=CC=C2)C(N1)=O.CC1OCCC1
PIM-1-H mono unit,CC1(C)CC2(CC(C)(C)C3=C2C=C(OC(C(C#N)=C(OC(C=C4C(C5(CC(C)(C)C6=C5C=C(OC)C(OC)=C6)CC4(C)C)=C7)=C7O8)C8=C9C#N)=C9O%10)C%10=C3)C%11=CC(OC)=C(OC)C=C%111.CC1OCCC1
mecn,
RAE,COC1=C(OC)C=C(CC(ON2C(C(C=CC=C3)=C3C2=O)=O)=O)C=C1.CC#N
IQ,C12=CC=CC=C1C=CN=C2.CC#N
IQ-TM,COC1=C(OC)C=CC(CC2=NC=CC3=CC=CC=C32)=C1.CC#N
4CzIPN,N#CC1=C(N2C3=CC=CC=C3C4=C2C=CC=C4)C(N5C6=CC=CC=C6C7=C5C=CC=C7)=C(N8C9=CC=CC=C9C%10=C8C=CC=C%10)C(C#N)=C1N%11C%12=CC=CC=C%12C%13=C%11C=CC=C%13.CC#N
NHPI,O=C1C2=C(C=CC=C2)C(N1)=O.CC#N
PIM-1-H mono unit,CC1(C)CC2(CC(C)(C)C3=C2C=C(OC(C(C#N)=C(OC(C=C4C(C5(CC(C)(C)C6=C5C=C(OC)C(OC)=C6)CC4(C)C)=C7)=C7O8)C8=C9C#N)=C9O%10)C%10=C3)C%11=CC(OC)=C(OC)C=C%111.CC#N
tfa+dmf,
RAE,COC1=C(OC)C=C(CC(ON2C(C(C=CC=C3)=C3C2=O)=O)=O)C=C1.O=CN(C)C
IQ,C12=CC=CC=C1C=CN=C2.O=CN(C)C.O=C([H])C(F)(F)F
IQ-TM,COC1=C(OC)C=CC(CC2=NC=CC3=CC=CC=C32)=C1.O=CN(C)C.O=C([H])C(F)(F)F
4CzIPN,N#CC1=C(N2C3=CC=CC=C3C4=C2C=CC=C4)C(N5C6=CC=CC=C6C7=C5C=CC=C7)=C(N8C9=CC=CC=C9C%10=C8C=CC=C%10)C(C#N)=C1N%11C%12=CC=CC=C%12C%13=C%11C=CC=C%13.O=CN(C)C
NHPI,O=C1C2=C(C=CC=C2)C(N1)=O.O=CN(C)C
PIM-1-H mono unit,CC1(C)CC2(CC(C)(C)C3=C2C=C(OC(C(C#N)=C(OC(C=C4C(C5(CC(C)(C)C6=C5C=C(OC)C(OC)=C6)CC4(C)C)=C7)=C7O8)C8=C9C#N)=C9O%10)C%10=C3)C%11=CC(OC)=C(OC)C=C%111.O=CN(C)C